"prompt_id","category","prompt_ja","prompt_en","level","model_answer_en","model_answer_ja","focus"
"diary-001","practice","今日スケボーで練習したことを書く","Write what you practiced today.","L1","I practiced ollies today.","今日はオーリーを練習しました。","past tense"
"diary-001","practice","今日スケボーで練習したことを書く","Write what you practiced today.","L2","I practiced small ollies today.","今日は小さいオーリーを練習しました。","adjective"
"diary-001","practice","今日スケボーで練習したことを書く","Write what you practiced today.","L3","I practiced small ollies today because my timing was bad.","タイミングが悪かったので、今日は小さいオーリーを練習しました。","because"
"diary-002","feeling","今日の練習の気分を書く","Write how you felt about today's practice.","L1","I felt good today.","今日は調子がよかったです。","felt + adjective"
"diary-002","feeling","今日の練習の気分を書く","Write how you felt about today's practice.","L2","I felt a little tired today.","今日は少し疲れていました。","degree adverb"
"diary-002","feeling","今日の練習の気分を書く","Write how you felt about today's practice.","L3","I felt a little tired today, but I enjoyed skating.","今日は少し疲れていましたが、スケボーを楽しめました。","but"
"diary-003","progress","できるようになったことを書く","Write one thing you got better at.","L1","I landed three kickflips.","キックフリップを3回乗れました。","simple past"
"diary-003","progress","できるようになったことを書く","Write one thing you got better at.","L2","I landed three clean kickflips.","きれいなキックフリップを3回乗れました。","adjective"
"diary-003","progress","できるようになったことを書く","Write one thing you got better at.","L3","I landed three clean kickflips, so I felt happy.","きれいなキックフリップを3回乗れたので嬉しかったです。","so"
"diary-004","problem","うまくいかなかったことを書く","Write one thing that did not go well.","L1","I missed many tricks.","たくさん技を失敗しました。","simple past"
"diary-004","problem","うまくいかなかったことを書く","Write one thing that did not go well.","L2","I missed many easy tricks.","簡単な技をたくさん失敗しました。","adjective"
"diary-004","problem","うまくいかなかったことを書く","Write one thing that did not go well.","L3","I missed many easy tricks because I was tired.","疲れていたので、簡単な技をたくさん失敗しました。","because"
