"term","part_of_speech","meaning_ja","example_en","example_ja","tags"
"practice","verb","練習する","I practice ollies.","オーリーを練習します。","basic"
"land","verb","技を決める、着地する","I landed a kickflip.","キックフリップを決めました。","skate"
"miss","verb","失敗する","I missed the trick.","その技を失敗しました。","skate"
"try","verb","試す","I want to try that line.","あのラインを試したいです。","basic;skate"
"clean","adjective","きれいな、安定した","That kickflip looked clean.","今のキックフリップはきれいでした。","compliment"
"smooth","adjective","なめらかな","Your landing was smooth.","着地がスムーズでした。","compliment"
"hard","adjective","難しい","Is it hard?","それは難しいですか。","question"
"tired","adjective","疲れた","I felt tired today.","今日は疲れていました。","feeling"
"a little","adverb phrase","少し","My knee hurts a little.","膝が少し痛いです。","basic"
"for about fifteen years","phrase","15年くらい","I have skated for about fifteen years.","15年くらいスケボーをしています。","experience"
